subzone_name,n_obs,R2,Adj_R2,const,dist_mrt,dist_hcen,dist_scen,bus_count_400m,resale_age,storey_mid,floor_area_sqm,type_2 ROOM,type_3 ROOM,type_4 ROOM,type_5 ROOM,type_EXECUTIVE,type_MULTI-GENERATION,model_3Gen,model_Adjoined flat,model_Apartment,model_DBSS,model_Improved,model_Improved-Maisonette,model_Maisonette,model_Model A,model_Model A-Maisonette,model_Model A2,model_Multi Generation,model_New Generation,model_Premium Apartment,model_Premium Apartment Loft,model_Simplified,model_Standard,model_Terrace,model_Type S1,model_Type S2
ADMIRALTY,93,0.9692114082424517,0.9645931194788194,8.74354040384458,0.00016138264725837521,-0.00020116335514005004,6.210233394556008e-05,0.002110464857579486,-0.005457882367857048,0.006799494236641834,0.005348546665672638,1.426866058186929,1.5670180640802074,1.6575947925346437,2.0103848661294386,2.0816766229133083,0.0,0.0,0.0,2.081676622913294,0.0,2.0103848661294634,0.0,0.0,2.3177343429828854,0.0,2.3337445718190124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALEXANDRA HILL,71,0.9845190134765485,0.9802969262428799,9.099768950030796,0.00037572807575914774,3.0003498207351043e-05,-0.0005938036461532806,0.004870736892153227,-0.012904362229848587,0.006709202510549961,0.011529250963218524,2.3304265981144408,2.261515542164542,2.3353433427476844,2.1724834670041533,-9.030834893007292e-15,9.126081893993467e-16,-8.119444844776714e-15,6.388893793063618e-16,0.0,0.0,1.4448750964183967,0.0,0.0,1.4300100779890865,1.7197921511984626,0.0,0.0,1.4623874137590418,0.0,0.0,1.541634488274183,1.5010697223916791,0.0,0.0,0.0
ALJUNIED,174,0.9739790145506113,0.9711433943413831,9.992028201183725,-0.00022508909939656166,3.0655469039835275e-05,-0.0001998330290667377,-0.00015378624453388223,-0.011065853146365892,0.00961630659092956,0.005547101117406222,1.6255618077972258,1.8467769439089792,2.0561200815309335,2.181394301051948,2.282175066894596,-5.71613625908679e-16,3.4252175831213653e-15,1.2899634472897317,1.1269410521424934,2.968388265592053e-16,1.2252535046250193,0.0,1.1552340147521125,1.2734877555683661,1.454159661730051,0.0,0.0,1.257355394270487,0.0,0.0,0.0,1.2096333708054616,0.0,0.0,0.0
ANCHORVALE,385,0.9143106564647928,0.9105850328328273,9.38467437078614,5.643267726442285e-05,0.00010373484031056535,-5.466511687825769e-06,0.000597678397239898,-0.013421107836737223,0.007021788341008334,0.0045436538242800695,1.5847070701750017,1.7787375135479229,1.9224183982514642,1.979184162489922,2.1196272263217786,3.308009833294473e-14,1.5540222724840342,4.0197483953486e-16,1.5659809095726116,0.0,1.5873801783799264,0.0,0.0,1.546803109618656,0.0,1.5693488041982722,0.0,0.0,1.5611390965326772,0.0,0.0,0.0,0.0,0.0,0.0
BALESTIER,222,0.9793860709829028,0.977885056734085,9.283172454645893,-8.590294335974243e-05,1.9187089053993717e-05,8.78787799097093e-05,-0.0015026149336691552,-0.009023355286107176,0.0066374380010855855,0.007177065099945881,5.984661536233757e-16,2.322026087714563,2.4612760244842,2.5947341259432237,1.9051362165039358,-2.3329595586300074e-15,-4.3294329754755075e-16,-2.538447716621139e-16,0.0,0.0,1.0591652143477495,0.0,1.9051362165039438,1.1562228812324693,0.0,0.0,0.0,1.153856763557957,0.0,0.0,1.0936713362624304,1.0332296426783216,1.8818904000631083,0.0,0.0
BANGKIT,98,0.9688822465711489,0.9640664037785885,8.808425717067568,0.00011350605093786437,1.4620161903503535e-05,0.00013776487375661423,0.0001762900896579156,0.004585640468286911,0.0064606454350929765,0.002662227006483997,4.3960574473871226e-14,1.686016040751452,1.8480409731315381,2.5694282025295205,2.7049405006553116,2.1689743794754614e-14,0.0,1.3519450105897164,1.3465006476221237,0.0,1.2174831919397358,0.0,1.3584398530331439,1.7988766798268578,0.0,0.0,0.0,0.0,0.0,0.0,1.7351803340560075,0.0,0.0,0.0,0.0
BEDOK NORTH,610,0.975831114162873,0.9751790025719893,9.505842596472538,-9.491319163405895e-05,-3.282287209912301e-05,-0.00013075500956215497,-0.000898359057575987,-0.011309713129772477,0.006494567450674366,0.007913177452302272,1.8140597997214325,1.8454728263020699,1.9074133992786462,2.0108357380598263,1.9280608331105604,4.027057649809513e-15,-8.321494005263951e-16,1.6342476377960393,1.679268594379261,0.0,1.5205779634024008,0.0,0.0,1.5909559000450502,0.0,0.0,0.0,1.564406724404721,0.0,0.0,0.0,1.5163857764450301,0.0,0.0,0.0
BEDOK RESERVOIR,140,0.9675368233273426,0.9633139710772408,9.0323802981374,-2.994160146072163e-05,0.00013587669014767886,-6.440549259181458e-05,0.0008497704514252025,-0.005675474998645735,0.009879635122301875,0.009351191544040072,4.429017610980374e-15,2.2299003663864356,2.2693145019731027,2.2703154246540453,2.262850005123794,1.4343116355458775e-15,7.146965883691734e-16,-2.6283262128420558e-15,1.1546201483262801,1.3658817928152676,1.005465563310361,0.0,1.1082298567975162,1.0104006498734774,1.1455243428133928,0.0,0.0,1.0864747214400783,1.1557832227610243,0.0,0.0,0.0,0.0,0.0,0.0
BEDOK SOUTH,184,0.9580796368487801,0.9537865876104021,9.485948890916726,-6.334912335293635e-05,-3.258054048117711e-05,-2.2290398120693427e-05,0.009920684867016027,-0.005255406959974007,0.00867407639053172,0.007608169251829,1.7104776547761276,1.7705503126604054,1.830954931547869,2.0020552105566427,2.171910781375736,1.0464061459615829e-14,-4.285088642820158e-15,1.1462053394737697,1.1112152955181025,2.5724758659315827e-16,1.187984232503347,0.0,1.0606954858576163,1.312651311988465,0.0,0.0,0.0,1.2501861723727978,0.0,0.0,1.2611014686073456,1.1559095845953369,0.0,0.0,0.0
BENDEMEER,262,0.9761469645287305,0.974274205545449,10.01351639940043,-0.00039272399216179563,-4.5650458262026143e-05,9.470115149853853e-05,-0.006888557809128379,-0.01090562677687859,0.006042309254046044,0.0082673616035389,1.7988186182100563,1.9459367208195308,2.0605741844766743,2.128466462272806,2.0797204136213683,-4.228233904911488e-15,8.934735397935708e-15,-1.7924469191993365e-15,1.0408651906207724,1.0275134480585189,0.9727852071195372,-1.529257770097805e-16,1.0388552230005859,1.0252060379757124,0.9801782135658526,0.0,0.0,0.990234522119396,0.9967741568664235,0.0,1.0596682471502867,0.8814361529233863,0.0,0.0,0.0
