town,n_obs,const,dist_mrt,dist_hcen,dist_scen,bus_count_400m,resale_age,storey_mid,type_2 ROOM,type_3 ROOM,type_4 ROOM,type_5 ROOM,type_EXECUTIVE,type_MULTI-GENERATION,model_3Gen,model_Adjoined flat,model_Apartment,model_DBSS,model_Improved,model_Improved-Maisonette,model_Maisonette,model_Model A,model_Model A-Maisonette,model_Model A2,model_Multi Generation,model_New Generation,model_Premium Apartment,model_Premium Apartment Loft,model_Simplified,model_Standard,model_Terrace,model_Type S1,model_Type S2
ANG MO KIO,1045,10.293411618134183,-8.648957330762059e-05,2.3435341444573606e-05,-1.9502502620607695e-05,-0.002517343180766792,-0.01011403723554095,0.007946176289386847,1.5192334045708935,1.7759153761748032,2.0545176571755777,2.337457156437027,2.6062880237758828,1.8779064460311876e-15,-4.4366069796232245e-16,1.4067286985225373,1.2375601956150737,1.3231575788982544,1.2215232422395257,0.0,1.2679587939272317,1.3254630328775165,0.0,0.0,0.0,1.2477531848420003,0.0,0.0,0.0,1.2632668912120606,0.0,0.0,0.0
BEDOK,1310,10.481565479788124,-6.291011735286284e-05,3.7377790971275787e-05,-2.1394844943143547e-05,-0.000741827379617907,-0.00979297301692349,0.007625248648697749,1.5586175431004476,1.8546247313472028,2.11558244883403,2.3952055441841775,2.55753521232225,-2.4153647583630085e-16,-5.129888914711064e-16,1.0507231907775072,0.9625401680113264,0.9720834339969113,0.8498037118165818,8.656229585380462e-17,1.0006683057197652,0.9631712928155176,1.132302953129832,0.0,0.0,0.9051165602937057,0.877582572863951,0.0,0.852575767145169,0.9149975232178535,0.0,0.0,0.0
BISHAN,380,10.443330027393182,-0.00012026616783063909,-9.257632906131718e-05,-1.6465083262143937e-05,0.009582957227943348,-0.02460465605194286,0.0076546904894619905,-8.650371106736253e-15,2.2659658687732622,2.5294123269778233,2.774316606152734,2.8736352254893434,-3.539977475567423e-16,-7.663289965665939e-16,4.2066997521701297e-16,1.4472181679176548,1.1715278318496563,1.306367955221295,0.0,1.4264170575716824,1.3465938011750815,0.0,0.0,0.0,1.3428515714168463,1.1837050728187468,0.0,1.218648569422212,0.0,0.0,0.0,0.0
BUKIT BATOK,1410,10.873566764245872,-7.16245993522034e-05,1.8706140967523143e-05,2.9555828859275605e-05,0.005145771830547499,-0.006344424219405804,0.006103756086897581,1.7754860607539076,2.10873616741423,2.3929631222420147,2.6631956419021505,1.9331857719335934,2.9439054375897185e-16,0.03648040125085927,-1.878333610456947e-15,0.9536167311682434,6.595400472462984e-17,-0.050847555320867155,4.449154947757136e-16,0.9795690407653463,0.013079004674865224,0.0,-0.08532621257069017,0.0,-0.022375683723673045,0.06335091366208179,0.0,-0.07914253180809716,0.0,0.0,0.0,0.0
BUKIT MERAH,984,13.380070211585526,-0.00024025010084478083,-2.4875741844126976e-05,-2.718602948631639e-06,-0.006970164749232802,-0.009868938320809706,0.004499493814256281,-0.024173983021695822,0.29954723723395604,0.5839322007439764,0.9164611096506214,2.4097257387952483e-16,-7.777897335136003e-16,-3.8457080899534433e-16,0.5396816965365598,-2.2098573947757084e-15,6.717971263082597e-16,-0.16429228927548367,0.0,0.0,-0.04016686058506558,0.2650413985412525,0.0,0.0,-0.08614807782014644,0.019285546609664195,0.0,-0.08274445427966359,-0.0957300533521579,0.0,0.0,0.0
BUKIT PANJANG,759,9.871830995324814,-0.00011274211377209687,9.220042909754338e-05,-7.179828236886275e-05,0.010512435766329944,-0.0053569596805003086,0.009409907013848612,1.4944125030014068,1.8073658604350946,2.0384070372333327,2.183292891315575,2.3483527033394247,-5.112419379383921e-16,6.084310081576427e-16,1.4064603207991446,1.3026069656719101,4.287997049275765e-17,1.2391873623706608,0.0,1.3807408181080816,1.1762485000892497,0.0,1.133911011431335,0.0,0.0,1.158949327716279,0.0,1.0737266891381676,0.0,0.0,0.0,0.0
BUKIT TIMAH,46,8.671957181301906,-0.000950688275266176,-0.000587823511917912,0.0009558085244902384,0.03708434954649675,0.02901214143582065,0.01182209790931854,7.29981322812202e-15,1.0173923312538022,1.2142030814058984,3.4437307760744957,2.996630992567688,-5.156771729327587e-16,3.94742242198618e-15,0.0,1.476953229069839,0.0,0.8918108119721353,0.0,1.5196777634978567,2.880429193206723,0.0,0.0,0.0,0.0,0.0,0.0,2.767476045098725,-0.864389861543458,0.0,0.0,0.0
CENTRAL AREA,195,9.981384449895321,-0.0003072048602487075,0.00027283680669270075,-7.487300545245038e-05,0.01686954081622967,-0.00644426591264137,0.005471921640482928,1.5787209655384877,1.7093784856594563,2.0233894728936295,2.2678002445387646,2.4020952812650256,-1.86737451281742e-16,-4.1997927436639945e-17,1.475354530154793,6.159422522785726e-17,-1.0216537054209835e-16,1.2947004350681655,0.0,0.0,1.432564665409114,0.0,0.0,0.0,1.425514673172127,0.0,0.0,0.0,1.1848983552953274,0.0,1.6340319025404222,1.5343198882554088
CHOA CHU KANG,1137,11.038217888263423,-9.472215219116656e-05,-6.499601801812868e-05,-6.730375309410867e-05,0.003615506632494103,-0.004740946093729839,0.005272734956087419,1.6762710441955169,2.0237507298535125,2.249969962985199,2.458527471752325,2.629698679476896,1.327488055859902e-16,3.273944992803097e-15,-4.568490897088204e-15,0.01121406126510216,-5.90803308506726e-17,-0.03278666854535128,0.0,0.08007045822619485,0.011794958314399473,0.0,-0.035522295606153165,0.0,-0.07283129676327693,0.015469715653797955,0.0,0.0,0.0,0.0,0.0,0.0
CLEMENTI,565,10.405360066991326,-0.00018611951780107112,3.193911414740933e-05,6.48247395942411e-05,0.0007967963900435276,-0.009497950836340089,0.004998094933590366,1.4867049398648449,1.7709250818577307,2.0872014901728244,2.3766719433263237,2.683856611769585,-1.6693993629915956e-16,5.500187466350212e-16,1.1194361136737485,1.030796378824041,1.0988774585484054,1.1237532429359511,2.2543985511090635e-16,1.0896541520345053,1.2081739095433917,1.4612331374975505,0.0,0.0,1.132142115710014,0.0,0.0,0.0,1.1412935582237047,0.0,0.0,0.0
