town,n_obs,const,dist_mrt,dist_hcen,dist_scen,bus_count_400m,resale_age,storey_mid,type_2 ROOM,type_3 ROOM,type_4 ROOM,type_5 ROOM,type_EXECUTIVE,type_MULTI-GENERATION,model_3Gen,model_Adjoined flat,model_Apartment,model_DBSS,model_Improved,model_Improved-Maisonette,model_Maisonette,model_Model A,model_Model A-Maisonette,model_Model A2,model_Multi Generation,model_New Generation,model_Premium Apartment,model_Premium Apartment Loft,model_Simplified,model_Standard,model_Terrace,model_Type S1,model_Type S2
ANG MO KIO,1045,696745.9087087091,-53.137118852097416,5.212296676514782,-0.44166456573584867,-1304.0106464030637,-7918.923956234561,5346.416327198921,-99975.39508003695,-64385.06497862954,75074.18118878422,275306.9327128238,510725.25486576743,6.707180869163888e-11,-6.535598652191138e-11,171081.76279933986,46019.148401180515,117895.35786765174,39853.41466056205,0.0,77468.51809674129,84333.36989567569,0.0,0.0,0.0,94733.82116667397,0.0,0.0,0.0,65360.51582088423,0.0,0.0,0.0
BEDOK,1310,611034.6666115418,-23.470128616911516,27.31677734170077,-11.682952583050842,-533.9156756194493,-6213.883068041907,4596.317979731663,-141059.94303061,-10722.273064965848,107576.52341397865,262067.58021136958,393172.77908176946,-6.677079891196179e-11,4.4713138786888214e-11,122890.98766324595,74151.03862183029,62129.157407530234,3038.4579024437407,4.787539317833288e-11,93248.62268849148,37896.75047730486,188196.65706188855,0.0,0.0,19417.728408949362,-2837.535128740419,0.0,-12429.570981666679,25332.372490265785,0.0,0.0,0.0
BISHAN,380,849814.1464140519,-60.187951303783194,-56.74860335865906,-14.689884871362935,5316.413816476386,-10917.904230106014,6908.62435307786,-5.604653900398515e-10,-10918.26416004713,122712.09496826309,329593.8874032319,408426.42820260255,-2.0320208525291236e-11,-7.291071513677243e-11,1.8123022464020407e-11,212649.26049288214,171809.82339296985,52808.865102366784,0.0,195777.16770971983,105665.19885790345,0.0,0.0,0.0,80710.58310992943,22169.684806639285,0.0,8223.562941640273,0.0,0.0,0.0,0.0
BUKIT BATOK,1410,454216.84547419666,-41.64315902522285,13.784028352123112,20.83071742413503,3633.252674791649,-3397.823120490102,4019.1456069265337,-181800.69168287882,-34866.41235210688,102954.11108627904,273623.4107150492,294306.42770785524,5.738544690271795e-11,53763.68815747707,8.528584811543854e-12,139342.4080382464,6.834604621237142e-11,-16283.23057062308,-2.627189968748955e-11,154964.01966960853,10759.744320850441,0.0,-43217.23523434269,0.0,3596.703809518134,57145.331502949884,0.0,-20714.28335798879,0.0,0.0,0.0,0.0
BUKIT MERAH,984,717731.263731821,-169.96208902754375,-4.666772571279978,-2.6316282249789147,-4409.566371855491,-6824.844873749905,3946.5246118144705,-102895.52711158663,31925.30960362913,219226.14057659608,402197.7856727745,1.941239428122788e-10,-7.345464842907615e-10,-1.1241241946138417e-09,641625.9485615769,-2.8152220530159302e-11,-2.6017448725547675e-10,78550.99531887117,0.0,0.0,77994.11231865463,427875.9188158626,0.0,0.0,84348.21093209702,125901.65830510156,0.0,49163.23648025433,112542.7537184513,0.0,0.0,0.0
BUKIT PANJANG,759,379251.3821712512,-78.88301385933826,60.31350129291059,-50.257508016301216,6803.449676715177,-3008.3944096750333,5619.931414465351,-136616.4795696844,-19733.911434576665,84934.36010764504,169712.3473492247,280955.0657186431,-1.7589155746316965e-11,4.618617885470717e-11,140010.20185684197,88870.04560380174,2.9276962361531797e-11,43496.01461291088,0.0,146277.8547910521,8998.608131938658,0.0,-13079.597554595734,0.0,0.0,-1092.5877587819414,0.0,-34229.15751191564,0.0,0.0,0.0,0.0
BUKIT TIMAH,46,410306.2379524382,-700.0688872102173,-494.20795333346155,656.3728798431575,32270.807012764526,7238.257481961293,13547.869575523568,-1.120379851717153e-09,-611989.4762077793,-518509.4213090795,1002212.7888863251,538592.3465829706,-3.878651732592765e-10,-1.5489220624762513e-09,0.0,238728.46463424433,0.0,-382196.0724996729,0.0,299863.88194872305,924217.6600419697,0.0,0.0,0.0,0.0,0.0,0.0,827405.4328404663,-1497713.129013286,0.0,0.0,0.0
CENTRAL AREA,195,539572.3305537074,-147.82227666547283,111.9062626920271,-27.48945404192203,9108.379318099502,-2660.349297219521,5547.129438424572,-112733.94433333566,-94350.90872411552,73709.59690473278,261364.92124383542,411582.6654625921,-1.011005924150259e-10,2.068598625623728e-11,45861.725217185085,1.5639857147053226e-10,-1.8764653236953172e-11,-67463.52129206239,0.0,0.0,28807.84774298269,0.0,0.0,0.0,9924.998278151521,0.0,0.0,0.0,-113716.78607830803,0.0,322588.89046278223,313569.1762229776
CHOA CHU KANG,1137,495469.2919876661,-54.6150052081498,-36.6671589649975,-36.29338018074395,1933.0943058158646,-2559.9190698729467,2880.5077604686403,-136153.6866850953,-4115.073935215776,99734.98074993772,214005.56691890932,321997.50493913126,-1.0696761466140008e-11,1.7036412802629294e-10,-2.8555343031646254e-10,9097.3475001599,2.959539168257255e-12,-18910.11642013419,0.0,61548.955366434704,4155.795962955715,0.0,-14521.503488773102,0.0,-21586.099073939477,6759.945081099315,0.0,0.0,0.0,0.0,0.0,0.0
CLEMENTI,565,696025.7093058843,-101.43152753976136,43.941603657893836,33.00943449142505,-796.0897114445283,-7701.345556749782,3269.3584962802383,-185018.8460285726,-112855.51530664146,60437.19817743247,320725.9601620763,612736.9123015899,-1.60406682622342e-10,6.101042073371784e-11,17557.155811181816,-45855.846169049735,55692.13516632031,62132.65955448436,4.2064391929435584e-11,-29723.23902255809,126547.85504790727,304982.18134962645,0.0,0.0,144291.55357289425,0.0,0.0,0.0,60401.25399507425,0.0,0.0,0.0
