town,n_obs,const,dist_mrt,dist_hcen,dist_scen,bus_count_400m,resale_age,storey_mid,type_2 ROOM,type_3 ROOM,type_4 ROOM,type_5 ROOM,type_EXECUTIVE,type_MULTI-GENERATION,model_3Gen,model_Adjoined flat,model_Apartment,model_DBSS,model_Improved,model_Improved-Maisonette,model_Maisonette,model_Model A,model_Model A-Maisonette,model_Model A2,model_Multi Generation,model_New Generation,model_Premium Apartment,model_Premium Apartment Loft,model_Simplified,model_Standard,model_Terrace,model_Type S1,model_Type S2
ADMIRALTY,93,9.077258284361744,0.0001595226404060646,-0.0001846185845681466,5.047368817287599e-05,0.0023300710361932597,-0.006521155269170187,0.006949787360526483,1.3127811442899584,1.565952126873822,1.7895165262395079,2.142239745737711,2.266768741220755,0.0,0.0,0.0,2.266768741220753,0.0,2.142239745737719,0.0,0.0,2.3412858161107866,0.0,2.326963981292464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALEXANDRA HILL,71,9.948209175184303,0.00029766600363950735,-0.00013900190861385227,-0.0006231919759464855,-0.0034040338379603963,-0.01240227448304504,0.007747719124406763,2.1830638267392355,2.251330758728292,2.648440582422916,2.865374007293832,1.2670046325057853e-15,-2.740130301854785e-16,-2.8912496729928336e-17,8.891128495447212e-17,0.0,0.0,1.5432584086321623,0.0,0.0,1.6522227180166267,2.000822797979218,0.0,0.0,1.664792886929232,0.0,0.0,1.5785585339204333,1.5085538297066634,0.0,0.0,0.0
ALJUNIED,174,10.343309612128353,-0.00017730834603690848,3.219965016867466e-05,-0.0001970100337448065,0.001056890802229149,-0.009382444943972182,0.00948441976528154,1.459418876036513,1.7795426999479802,2.1341043538041085,2.438767900017556,2.5314757823221967,-1.2893786505753197e-15,-3.931745455731976e-16,1.374259725053781,1.2366982564409135,1.5860055035574723e-16,1.196845593331569,0.0,1.2947775258812866,1.3234741179033187,1.5347978419789303,0.0,0.0,1.2433991652770953,0.0,0.0,0.0,1.1390573862614874,0.0,0.0,0.0
ANCHORVALE,385,9.679500620208561,5.612884514011925e-05,0.00010975294245703284,2.097384756768062e-05,0.0005811902714686901,-0.014451195401486039,0.006931846919643658,1.4421641822600288,1.7484830155820745,1.99413830073089,2.1424055639710007,2.3523095576645687,5.427274795161042e-17,1.6331143753924533,1.3035613829238526e-16,1.61860017843715,0.0,1.631965238418169,0.0,0.0,1.5947253638311598,0.0,1.5871439647450136,0.0,0.0,1.6139514993846142,0.0,0.0,0.0,0.0,0.0,0.0
BALESTIER,222,9.925780898702623,-0.0001654000798018227,-7.511399567032562e-05,5.182621183472125e-06,-0.004776830069966154,-0.008033338118336258,0.006342971292216004,1.7291523374268366e-15,2.2618805919985414,2.576587768368595,2.909482636361761,2.1778299019737877,-7.057079131450901e-16,1.321864014624489e-16,-7.704604184983441e-18,0.0,0.0,1.0703941241430304,0.0,2.177829901973788,1.234120857761223,0.0,0.0,0.0,1.153367223901648,0.0,0.0,1.059719346040853,0.9569001463436324,2.273449298538469,0.0,0.0
BANGKIT,98,9.01522383574909,0.00012751735652014734,9.479151706658258e-06,0.00013246339217304337,0.0005762954679304766,0.00482945364294296,0.00646388135472048,-9.41747227871078e-15,1.6434485609581007,1.8875046524935364,2.661727502350516,2.8225431199468662,-1.8575625030616478e-17,0.0,1.4222062224572882,1.4026131038439775,0.0,1.2395212798932054,0.0,1.4199300161028776,1.8243319160385045,0.0,0.0,0.0,0.0,0.0,0.0,1.706621297413232,0.0,0.0,0.0,0.0
BEDOK NORTH,610,10.020428372344462,-9.416154685604563e-05,-2.3067430713527657e-05,-0.00011791123569906205,-0.0004351112858061307,-0.010333163445504886,0.0064497571479730995,1.5564958282366064,1.7100944392021777,1.9519947517202543,2.3384421877582184,2.4634011654271832,-2.33455482194139e-16,-5.692134333691277e-16,1.7868924959146293,1.7051076673528733,0.0,1.5538805016622153,0.0,0.0,1.7353302243091093,0.0,0.0,0.0,1.6714463517684996,0.0,0.0,0.0,1.5677711313371347,0.0,0.0,0.0
BEDOK RESERVOIR,140,9.926439519400226,-5.128055357227928e-05,0.00018066627437319269,-4.80480986586318e-05,-0.0013966799533527974,-0.011562281737214186,0.009642364231112963,-1.2771262488981799e-14,2.1861713384075623,2.4552129743432545,2.5642033351336,2.7208518715158387,3.887753135426223e-15,6.249999421870902e-15,-1.1785080365962015e-15,1.3816673383005185,1.1757330912825417,1.1836348346875702,0.0,1.339184533215337,1.1023121012622163,1.4472573719867654,0.0,0.0,1.1269090843867762,1.1697411642785314,0.0,0.0,0.0,0.0,0.0,0.0
BEDOK SOUTH,184,9.923585070819763,5.723018875002442e-05,0.00010143477549354706,-5.4747010653586475e-05,0.007002775726335397,-0.004182293656694147,0.009161916704675612,1.4742427125521225,1.6878004886316944,1.8987315141374608,2.344678472677789,2.5181318828207186,-1.3348564990572493e-15,1.5310869528374044e-15,1.182165826803722,1.2875335523741196,1.4308808704101555e-17,1.172671499105555,0.0,1.2305983304466093,1.4174840222355243,0.0,0.0,0.0,1.2948971838499785,0.0,0.0,1.2163258754247974,1.1219087805794903,0.0,0.0,0.0
BENDEMEER,262,10.672662487413833,-0.0004917924653416086,-0.0001245387945863841,0.00010381953268876701,-0.011281972760147453,-0.009844898117829133,0.005593907966013244,1.598051969094354,1.8813181436779627,2.2090869063143828,2.503614875969167,2.4805905923579585,-1.7452094977035045e-15,-1.41154884734735e-15,6.219333845407859e-16,1.244459649880304,1.0355420203620105,0.9714982404003698,8.903968461554299e-17,1.2361309424776619,1.0965454214401777,1.101942048731133,0.0,0.0,1.0577347630039111,1.0319778028913023,0.0,1.0258069883988414,0.8710246098281418,0.0,0.0,0.0
